city,nodes,edges,k,algo2_time_s,oriented
"Paris, France",9213,17862,5,124.185315,True
"Paris, France",9434,14768,5,125.986334,False
"Lyon, France",4019,7994,5,11.245773,True
"Lyon, France",4138,6434,5,11.044964,False
"Marseille, France",12700,26366,5,259.000108,True
"Marseille, France",12804,17511,5,257.242101,False
"Toulouse, France",9101,19285,5,73.625517,True
"Toulouse, France",9274,13345,5,115.326209,False
"Bordeaux, France",4327,8796,5,11.600776,True
"Bordeaux, France",4437,6707,5,11.628776,False
"Nice, France",3972,8152,5,9.822029,True
"Nice, France",4023,5511,5,9.760033,False
"Nantes, France",6496,13993,5,40.637392,True
"Nantes, France",6614,9027,5,44.797473,False
"Dijon, France",3124,7120,5,6.785935,True
"Dijon, France",3187,4699,5,6.062893,False
"Reims, France",3583,8000,5,9.886812,True
"Reims, France",3638,5307,5,9.686819,False
"Annecy, France",4100,8420,5,10.79217,True
"Annecy, France",4461,6049,5,12.289397,False
